paper,case.study,old.case.study,new.case.study,efres.division.code,efres.group.code,efres.division,efres.group,efres.class,variable,sign,country,country2,continent,experiment.type,system.type,exper.system,experiment.design,other.fb,taxa,genera,order,origin,size.area,tank.size,water.volume,water.depth,sediment.depth,chlorophyll,nitrogen,phosphorous,carbon,o2,temperature,pH,soft.tissue,dry.weight,weight.g.m2,total.weight,number.fb,density.fb.volume,density.fb.area,length,test,significant,N_effect,X_effect,S_effect,SE_effect,N_ctr,X_ctr,S_ctr,SE_ctr,mul.out,yi,vi
P1715,P1715.4,P1715.4.1,P1715.3,3,3.2,physico.chemical.conditions,regulation.chemical,mediation.wastes,Turbidity.level.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,70,na,0.1,0.03,2.26,0.07,na,na,22.1,na,na,na,145,na,8,0.11,na,na,anova,Y,8,2.778,1.111,0.5555,8,15.111,3.244,1.622,1715.3,4.882908519,1.17328289
P2333,P2333.3,P2333.3.1,P2333.2,3,3.2,physico.chemical.conditions,regulation.chemical,mediation.wastes,Turbidity.level.system,-1,RepublicofKorea,RepublicofKorea,Asia,Lab,na,Lab,Repeated,N,Sinanodonta.sp.,Sinanodonta,Unionida,native,na,na,150,na,na,na,na,na,na,na,2.65,na,na,na,na,na,100,0.67,na,6.78,anova,Y,9,6.34,3.42,1.14,9,15.93,7.86,2.62,na,1.506855311,0.264634688
P2049,P2049.2,P2049.2.1,P2049.1,3,3.2,physico.chemical.conditions,regulation.chemical,sediments,Suspended.sediments.concentration.system,-1,RepublicofKorea,RepublicofKorea,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.leana,Corbicula,Venerida,native,56000,4,6000,2,0.3,0.08,0.08,0.07,na,na,na,na,na,na,na,na,100,0.17,25,na,na,na,56,11.76,3.22,0.6085,56,6.92,2.2,0.4158,2049.1,-2.736144491,0.08975504
P5208,P5208.4,na,P5208.1,3,3.2,physico.chemical.conditions,regulation.chemical,sediments,Suspended.sediments.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,na,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,0.16,90,0.6,0.15,na,na,na,na,na,na,na,na,14,121.8,na,2,0.02,8.7,na,anova,Y,6,6.09,1.8,1.0392,6,29.06,3.75,2.1651,5208.1,4.304633498,1.369089065
P5123,P5123.2,P5123.2.2,P5123.1,3,3.2,physico.chemical.conditions,regulation.chemical,sediments,Suspended.sediments.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,na,60,na,na,na,na,na,na,na,23.7,na,na,na,na,136.6,1,1,na,11,anova,Y,4,8.16,0.95,0.475,6,32,2,0.8165,na,12.78094367,8.507549741
P5216,P1595.1,P1595.1.1,P1595.1,3,3.2,physico.chemical.conditions,regulation.chemical,sediments,Suspended.sediments.concentration.system,-1,China,China,Asia,Meso,na,Meso,Independent,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,na,100,na,na,na,na,na,na,na,na,na,na,na,na,74.4,12,0.12,na,8.2,anova,Y,3,30.67,3.79,2.1882,3,50.33,6.08,3.5103,na,3.104564957,1.229860297
P3341,P3341.2,P3341.2.1,P3341.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,Secchi.depth.system,1,India,India,Asia,Meso,ArtifMesoc,ArtifMesocMeso,Independent,N,Lamellidens.marginalis,Lamellidens,Unionida,native,na,na,20000,1,na,na,na,na,na,na,30.35,7.94,na,na,75,50.5,30,0,1.5,5.2,duncan,N,3,25.8621,7.1671,4.1379,3,1.51,0.0866,0.05,na,3.843848289,1.657930806
P666,P666.2,P666.2.3,P666.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,P.concentration.FB,1,China,China,Asia,Field,Lake,LakeField,Independent,Y,Corbicula.fluminea,Corbicula,Venerida,native,na,na,na,na,na,0.01,1.04,0.07,na,na,na,na,na,na,na,na,36,na,na,1.86,t.test,Y,63,1.25,0.5,0.1091,28,42,2,0.5,666.2,-9.779732153,1.526857361
P666,P666.2,P666.2.5,P666.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,C.P.concentration.ratio.system,-1,China,China,Asia,Field,Lake,LakeField,Independent,Y,Corbicula.fluminea,Corbicula,Venerida,native,na,na,na,na,na,0.01,1.04,0.07,na,na,na,na,na,na,na,na,36,na,na,1.86,t.test,Y,63,116,49,10.6927,48,0.8,0.15,0.0375,666.1,-0.757771055,0.078305398
P2342,P2342.1,P2342.1.1,P2342.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.system,-1,RepublicofKorea,RepublicofKorea,Asia,Meso,Lake,LakeMeso,Repeated,N,Several,Several,Unionida,native,na,na,100000,2,na,0.2,na,0.11,na,na,16,na,na,na,na,na,na,na,5,6.74,t.test,Y,2,1.9,0.42,0.3,2,0.9,0.1414,0.1,na,-1.823529887,0.742188268
P5272,P5272.1,P5272.1.2,P5272.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,O.uptake.rate.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,1.62,0.05,0.12,na,na,na,na,na,15,na,na,na,70,na,na,na,1072,2,anova,Y,36,1270,330,190.5256,116,8,20,4.5883,5272.1,-1.191868323,0.482637954
P2688,P2688.2,P2688.2.1,P2688.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,NH4.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,na,0.1,0.45,0.1,0.01,1.95,0.06,na,na,na,na,na,na,na,98.17,5,1,na,na,anova,Y,4,0.504,0.071,0.0355,4,0.389,0.127,0.0635,na,-0.971973823,0.437117653
P4389,P4389.1,P4389.1.1,P4389.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,na,Corbicula.fluminea,Corbicula,Venerida,native,na,na,12960,na,na,0.05,na,0.19,na,na,19.5,7.85,na,na,4000,na,na,na,na,na,na,na,13,2.02,0.72,0.1997,5,2,1,0.4472,na,-0.023831877,0.251193171
P1715,P1715.1,P1715.1.2,P1715.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.FB,1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,70,na,0.1,0.03,2.26,0.07,na,na,22.1,na,na,na,580,na,32,0.45,na,na,anova,Y,4,3.48,0.43,0.23,4,3.48,0.51,0.25,na,0,0.378071834
P1715,P1715.1,P1715.1.3,P1715.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,P.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,70,na,0.1,0.03,2.26,0.07,na,na,22.1,na,na,na,580,na,32,0.45,na,na,anova,Y,20,0.38,0.06,0.09,20,0.2,0.02,0.01,1715.1,1.932958343,0.479817681
P2341,P2341.2,P2341.2.1,P2341.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.rate.system,-1,RepublicofKorea,RepublicofKorea,Asia,Meso,Lake,LakeMeso,Independent,N,Several,Several,Unionida,native,na,na,100000,1.5,na,0.26,na,0.09,na,na,na,na,na,na,na,na,500,na,10,na,na,na,10,0.08,0.16,0.0716,10,1.04,0.22,0.0984,2341.1,4.80861911,0.928488306
P1714,P1714.1,P1714.1.1,P1714.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,500,0.95,0.1,na,na,0.08,na,na,na,na,na,na,na,2.5,160,0.32,320,3.1,na,na,12,0.87,0.06,0.03,12,1.46,0,0,1714.1,6.810980226,2.043734861
P4262,P4262.1,P4262.1.1,P4262.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,0.5,na,0.1,0.46,0.13,0.01,na,na,19.6,na,na,na,260,5.3,30,0.06,60,na,anova,Y,8,1.81,0.37,0.185,6,1267,188.7935,109,4262.1,7.106192764,2.607712616
P4953,P4953.1,P4953.1.1,P4953.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.FB,1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,4.4,0.1,0.12,na,na,na,na,na,na,na,na,na,na,na,4,na,200,na,na,Y,9,1671.7,193.1,111.4863,10,0.08,0.02,0.01,4953.1,13.37024857,7.397804111
P816,P816.1,P816.1.2,P816.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,Fe.sediment.concentration.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,na,0.45,na,na,na,na,na,na,25,na,na,na,na,2.86,40,na,905,2,tukey,Y,6,4.66,0.17,0.0981,6,0,0,0,816.1,-22.42036874,28.77288188
P1580,P1580.1,P1580.1.13,P1580.5,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,Organic.carbon.sediment.content.system,-1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.6,240,0.1,0.1,na,na,na,na,na,na,8.1,na,na,na,na,450,1.87,750,2,anova,Y,18,0.39,0,0,18,0.53,0.02,0.0115,1580.5,-17.33060953,22.55317633
P5270,P5270.1,P5270.1.3,P5270.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,NH4.flux.system,-1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.01,0.14,na,na,na,na,na,na,na,na,na,na,na,2918,2.86,10,62.5,1052,2,anova,Y,3,340,80,46.188,19,0,0,0,na,-12.92931246,4.156460455
P5273,P5273.1,P5273.1.3,P5273.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,NH4.sediment.flux.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,1.62,0.05,0.12,na,na,na,na,na,15,na,na,na,na,2.85,na,na,na,2,anova,Y,12,53.944,15.294,8.83,12,0.08,0.02,0.0115,5273.1,-3.709592424,1.069675959
P2333,P2333.2,P2333.2.6,P2333.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,P.concentration.system,-1,RepublicofKorea,RepublicofKorea,Asia,Lab,na,Lab,Repeated,N,Sinanodonta.sp.,Sinanodonta,Unionida,native,na,na,150,na,na,na,na,na,na,na,2.65,na,na,na,na,na,100,0.67,na,6.78,anova,Y,36,30.46,9.81,3.27,36,13.72,15.18,5.06,2333.2,-1.894260957,0.172123343
P2333,P2333.2,P2333.2.5,P2333.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.system,-1,RepublicofKorea,RepublicofKorea,Asia,Lab,na,Lab,Repeated,N,Sinanodonta.sp.,Sinanodonta,Unionida,native,na,na,150,na,na,na,na,na,na,na,2.65,na,na,na,na,na,100,0.67,na,6.78,anova,Y,27,1.63,0.15,0.05,27,1.5,0.24,0.08,2333.1,-1.094439376,0.118970155
P5329,P5329.4,P5329.4.1,P5329.3,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,P.removal.rate.system,1,Malaysia,Malaysia,Asia,Lab,na,Lab,Independent,N,Several,Several,Unionida,native,na,na,3.6,na,0,0,na,0.05,na,na,25,na,34,na,na,na,1,0.28,23,5.2,t.test,N,60,10.01,14.28,2.6072,6,2.3608,1.1921,0.6883,5329.3,-0.56837086,0.232759317
P5270,P5270.1,P5270.1.1,P5270.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,O2.uptake.rate.sediment.system,1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.01,0.14,na,na,na,na,na,na,na,na,na,na,na,2918,2.86,10,62.5,1052,2,anova,Y,6,750,250,144.3376,38,1685,1164,267.0399,5270.2,-0.425735813,0.22794442
P5329,P5329.4,P5329.4.2,P5329.4,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,SRP.excreation.rate.system,-1,Malaysia,Malaysia,Asia,Lab,na,Lab,Independent,N,Several,Several,Unionida,native,na,na,3.6,na,0,0,na,0.05,na,na,25,na,34,na,na,na,1,0.28,23,5.2,t.test,Y,60,3.46,3.32,0.6061,6,1.1929,9.1599,5.2885,5329.4,-0.401685589,0.219882159
P2700,P2700.1,P2700.1.3,P2700.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.uptake.rate.system,1,China,China,Asia,Lab,na,Lab,Independent,na,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,2.46,4000,na,na,0.03,na,1.75,na,6.55,29,6.85,na,na,na,63.58,10,0,2.5,na,anova,N,15,31.4,2.7,1.5588,15,29.1,4.6,2.6558,2700.1,0.04070087,0.175961265
P2700,P2700.3,P2700.3.4,P2700.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,2.46,4000,na,na,0.03,na,1.75,na,6.55,29,6.85,na,na,na,63.58,10,0,2.5,na,anova,N,18,14,2.1,1.2124,18,13.9,1.6,0.9238,2700.2,0.389687366,0.166904221
P4246,P4246.1,P4246.1.4,P4246.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,Denitrification.rate.system,-1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,132.54,0.12,0.3,na,na,na,na,na,20,na,na,na,2035,na,na,na,na,na,anova,Y,12,49.2,8.8,5.0807,12,454.2,29.4449,17,4246.1,1.686399796,2.76201196
P1580,P1580.1,P1580.1.4,P1580.6,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,Oxidation-reduction.potential.of.sediments.system,1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.6,240,0.1,0.1,na,na,na,na,na,na,8.1,na,na,na,na,450,1.87,750,2,anova,Y,27,302,12,6.9282,27,101,10,5.7735,1580.6,38.20201254,57.90399257
P816,P816.1,P816.1.3,P816.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,O2.penetration.depth.system,1,China,China,Asia,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,na,0.45,na,na,na,na,na,na,25,na,na,na,na,2.86,40,na,905,2,na,na,1,1,0,0,3,0.04,0.01,0.0058,na,54.85714286,376.5986395
P5329,P5329.3,P5329.3.1,P5329.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,P.removal.rate.system,1,Malaysia,Malaysia,Asia,Lab,na,Lab,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,non.native,na,3.6,3.5,na,0,0.02,na,0.04,na,na,25,na,60,na,na,na,1,0.28,13,10.3,t.test,Y,40,34.6,29.87,6.6791,9,5.19,0.6859,0.28,5329.1,0.936708207,0.184939022
P5329,P5329.3,P5329.3.3,P5329.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,TAN.excretion.rate.system,-1,Malaysia,Malaysia,Asia,Lab,na,Lab,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,non.native,na,3.6,3.5,na,0,0.02,na,0.04,na,na,25,na,60,na,na,na,1,0.28,13,10.3,t.test,Y,40,57.14,18.89,4.2239,9,0,0,0,5329.2,3.570746216,0.830733338
P5283,P5283.3,na,P5283.2,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,P.concentration.system,-1,China,China,Asia,Meso,na,Meso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,0.2,na,na,0.02,na,0.14,na,8.36,22.5,7.3,na,na,na,1,1,5,303,na,anova,Y,9,5000,2800,933.3333,9,1000,100,33.3333,na,-1.922874153,0.304268912
P5283,P5283.1,na,P5283.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,N.concentration.system,-1,China,China,Asia,Meso,na,Meso,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,0.17,100,na,0.1,0.02,na,0.14,na,8.36,27.4,7.3,na,na,na,128.6,1,0.01,0.2,na,anova,Y,8,1.5,0.2,0.1,8,2.2,0.5,0.25,5283.1,3.4079522,0.786476349
P5216,P1595.3,P1595.3.1,P1595.3,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,Organic.carbon.concentration.system,-1,China,China,Asia,Meso,na,Meso,Independent,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,na,100,na,na,na,na,na,na,na,na,na,na,na,na,74.4,3,0.03,na,8.2,anova,Y,12,4.8,0.13,0.0751,12,10.72,0.03,0.0173,1595.3,50.21103869,94.72490908
P3618,P3618.1,na,P3618.1,1,1.2,organisms,zooplankton,,Zooplankton.density.system,-1,NewZealand,NewZealand,Australasia,Lab,na,Lab,Independent,N,Echyridella.menziesii,Echyridella,Unionida,native,na,na,6,na,na,na,na,na,na,na,18,na,na,na,na,na,3,0.5,46,6,t.test,Y,8,53,3,1.0607,8,47,2,0.7071,na,2.225026697,0.378181818
P3617,P3617.1,P3617.1.1,P3617.1,1,1.3,organisms,algae,,Clearance.rate,1,NewZealand,NewZealand,Australasia,Lab,na,Lab,Repeated,N,Echyridella.menziesii,Echyridella,Unionida,native,na,na,3.9,na,na,na,na,na,na,na,18,na,na,na,na,na,2,0.5,86.6,6.1,t.test,Y,40,196.4,128.5739,57.5,29,88.1,45.6,22.8,3617.1,1.061998811,0.17195177
P880,P880.2,P880.2.1,P880.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Al.concentration.FB,1,NewZealand,NewZealand,Australasia,Meso,Lake,LakeMeso,Independent,N,Echyridella.menziesii,Echyridella,Unionida,native,na,na,95,0.2,0.03,na,na,na,na,8.7,18.5,7.6,na,1.2,na,na,20,na,na,6,tukey,Y,3,127,41,23.6714,3,52,20,11.547,na,1.860073939,0.714989588
P3171,P3171.1,na,P3171.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Zn.concentration.FB,1,Australia,Australia,Australasia,Lab,na,Lab,Repeated,N,Velesunio.amblguus,Velesunio,Unionida,native,na,na,na,na,na,na,na,na,42,9.1,20,6.95,na,1.5,na,na,10,na,na,na,na,na,5,0.1,0.012,0.0054,5,0.038,0.012,0.0054,na,4.666666667,1.415215632
P3171,P3171.2,na,P3171.2,2,2.1,human.inputs,human.inputs,mediation.wastes,Zn.concentration.FB,1,Australia,Australia,Australasia,Field,River,RiverField,Repeated,N,Velesunio.amblguus,Velesunio,Unionida,native,na,na,na,na,na,na,na,na,na,na,na,na,na,1.5,na,na,25,na,na,na,na,na,5,47.09,47,21.019,5,0.038,0.012,0.0054,na,1.278767387,0.408089044
P639,P639.1,na,P639.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Pollutant.concentration.FB,1,NewZealand,NewZealand,Australasia,Field,River,RiverField,Repeated,Y,Echyridella.menziesii,Echyridella,Unionida,native,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,240,na,na,6.3,na,na,30,6000,2000,516.3978,30,180,70,18.0739,639.1,7.963472754,0.846214716
P880,P880.2,P880.2.2,P880.2,3,3.1,physico.chemical.conditions,sediment.control,sediments,Reburial.rate.system,1,NewZealand,NewZealand,Australasia,Meso,Lake,LakeMeso,Independent,N,Sphaerium.novaezelandiae,Sphaerium,Sphaerioida,native,na,na,95,0.2,0.03,na,na,na,na,na,20,7.6,0.03,na,na,na,20,na,na,0.24,tukey,Y,3,38,38,21.9393,3,100,2,1.1547,na,-1.843369483,0.709834254
P904,P904.1,P904.1,P904.1,3,3.2,physico.chemical.conditions,regulation.chemical,water.conditions,O.concentration.rate.system,1,NewZealand,NewZealand,Australasia,Lab,na,Lab,Independent,na,Echyridella.menziesii,Echyridella,Unionida,native,na,30,1,0.03,0.04,na,na,na,na,9.55,14.55,na,na,na,na,na,1,1,127,6.9,na,na,3,0.0231,0.288,0.1663,3,0.1183,0.21,0.1212,na,-0.302179399,0.434276032
P3431,P3431.1,na,P3431.1,1,1.1,organisms,macrofauna.habitat,,Fauna.diversity.system,1,Portugal,Portugal,Euro,Meso,Estuary,EstuaryMeso,Repeated,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,0.04,na,na,na,na,na,na,na,8.76,20.56,7.89,na,na,na,na,48,na,1200,2.6,na,na,6,1.35,0.55,0.47,6,1.05,0.35,0.14,na,0.600730499,0.299060216
P3270,P3270.1,P3270.1.9,P3270.2,1,1.1,organisms,macrofauna.habitat,,Dugesia.lugubris.density.system,1,Germany,Germany,Euro,Meso,Lake,LakeMeso,Independent,Y,Dreissena.polymorpha,Dreissena,Myida,non.native,na,0.0121,na,2,na,na,na,na,na,na,na,na,na,na,na,na,101,na,8.388,na,anova,N,27,551,354,118,90,7897,3759,1253,3270.2,1.47564618,0.155054959
P486,P486.2,P486.2.2,P486.2,1,1.1,organisms,macrofauna.habitat,,Density.of.epibiont.fauna.system,1,Hungary,Hungary,Euro,Field,River,RiverField,Independent,Y,Unio.tumidus,Unio,Unionida,native,na,na,na,1.5,na,na,na,na,na,na,na,na,na,na,na,na,60,na,na,7.9,permanova,N,4,313.33,426.95,24.12,25,0,0,0,486.2,-0.639479319,0.407071898
P486,P486.1,P486.1.2,P486.1,1,1.1,organisms,macrofauna.habitat,,Density.of.epibiont.fauna.system,1,Hungary,Hungary,Euro,Field,River,RiverField,Independent,Y,Anodonta.anatina,Anodonta,Unionida,native,na,na,na,1.5,na,na,na,na,na,na,na,na,na,na,na,na,38,na,na,9.1,permanova,N,6,486.67,345.06,15.64,40,0.76,0.07,0.02,486.1,8.732755382,1.433402148
P486,P486.4,P486.4.2,P486.4,1,1.1,organisms,macrofauna.habitat,,Density.of.epibiont.fauna.system,1,Hungary,Hungary,Euro,Field,River,RiverField,Independent,Y,Sinanodonta.woodiana,Sinanodonta,Unionida,non.native,na,na,na,1.5,na,na,na,na,na,na,30,na,na,na,na,na,25,na,na,2.6,permanova,N,6,342.67,195.53,10.56,6,4.3,0.3,0.17,486.4,0.645847998,0.375957664
P486,P486.3,P486.3.2,P486.3,1,1.1,organisms,macrofauna.habitat,,Density.of.epibiont.fauna.system,1,Hungary,Hungary,Euro,Field,River,RiverField,Independent,Y,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,na,1.5,na,na,na,na,na,na,na,na,na,na,na,na,200,na,na,10.6,permanova,N,6,148.22,122.69,10.08,8,1.2,0.6,0.35,486.3,9.015367032,4.991780601
P3173,P3173.1,na,P3173.1,1,1.1,organisms,macrofauna.habitat,,Fauna.diversity.system,1,UK,UK,Euro,Field,River,RiverField,Independent,N,Dreissena.bugensis,Dreissena,Myida,non.native,na,na,na,0.5,na,na,na,na,na,11,14.5,8.15,na,na,na,na,na,na,na,na,na,na,24,2.06,0.24,0.05,72,2.05,0.34,0.04,na,0.031151178,0.054675276
P2233,P2233.1,na,P2233.1,1,1.1,organisms,macrofauna.habitat,,Rhodeus.amarus.density.system,1,Poland,Poland,Euro,Field,River,RiverField,Repeated,N,Several,Several,Unionida,native,120000,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,0.12,0.02,0.04,5,0.01,0.01,0.01,na,6.283751738,2.300603538
P3918,P3918.5,na,P3918.3,1,1.1,organisms,macrofauna.habitat,,Macroinvertebrate.diversity.system,1,Germany,Germany,Euro,Field,River,RiverField,Independent,Y,Unio.crassus,Unio,Unionida,native,na,na,na,na,na,na,na,na,na,9.75,14.9,7.6,na,na,na,na,1,na,100,na,mann.whitney,N,30,16,7,1.75,30,17,8,2.07,3918.3,-0.064721199,0.078976958
P3270,P3270.1,P3270.1.5,P3270.2,1,1.1,organisms,macrofauna.habitat,,Gammarus.roesli.density.system,-1,Germany,Germany,Euro,Meso,Lake,LakeMeso,Independent,Y,Dreissena.polymorpha,Dreissena,Myida,non.native,na,0.0121,na,2,na,na,na,na,na,na,na,na,na,na,na,na,101,na,8.388,na,anova,Y,36,2158,801,267,162,5330.3443,1445.3483,315.4009,3270.2,3.776193831,0.173706266
P3997,P3997.4,P3997.4.,P3997.4,1,1.2,organisms,zooplankton,,Daphnia.content.system,-1,Portugal,Portugal,Euro,Lab,Lab,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,na,1.5,na,0,na,na,na,na,9,20,4.49,na,na,na,na,10,6.7,na,2.4,na,na,3,3.08,1.15,0.66,1,0,0,0,na,1.530434783,0.728152978
P5080,P5080.1,na,P5080.1,1,1.2,organisms,zooplankton,,Zooplancton.concentration.system,-1,Poland,Poland,Euro,Lab,Lab,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,5,na,na,na,na,0.04,na,9,24,8.3,na,na,350,na,na,na,na,1.3,anova,Y,4,35,5,0.85,4,133,20,10,na,-5.845864815,2.513955299
P1596,P1596.2.,P1596.2.1.,P1596.1,1,1.2,organisms,zooplankton,,Zooplankton.content.system,-1,Germany,Germany,Euro,Lab,Lab,Lab,Independent,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,0.008,na,na,0,na,na,na,na,na,na,na,na,na,na,na,15,1.3,925,1.5,anova,Y,24,0,26.6579,9.425,24,66.845,26.4034,9.335,1596.1,-1.778022656,0.169340312
P4857,P4857.1,P4857.1.1,P4857.1,1,1.2,organisms,zooplankton,,Zooplankton.growth.rate.system,-1,Germany,Germany,Euro,Lab,Lab,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,non.native,na,0.28,8,na,na,na,na,na,na,na,22.2,na,na,na,na,na,22,2.75,na,0.8,t.test,Y,6,1.3,0.8,0.7,40,3.53,0.29,0.06,4857.1,-8.33687639,1.226188008
P5234,P5234.1,P5234.1.26,P5234.1,1,1.2,organisms,zooplankton,,Asselus.aquaticus.density.system,-1,Lithuania,Lithuania,Euro,Field,Lake,LakeField,Independent,Y,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,na,2.6,na,na,na,na,na,na,na,na,na,na,na,na,2741,na,na,na,kruskal.wallis,Y,385,171,234,17.89,595,0,0,0,5234.1,0.30399278,0.043255578
P2227,P2227.7,P2227.7.1,P2227.3,1,1.2,organisms,zooplankton,,Cladocera.concentration.system,-1,Poland,Poland,Euro,Meso,Lake,LakeMeso,Repeated,N,Dreissena.polymorpha,Dreissena,Myida,non.native,na,na,270,na,na,0.02,na,0.07,na,9.5,18.7,na,na,na,250,na,200,0.66,332,1.5,anova,Y,15,2,0.71,0.5,15,0.94,0.18,0.1,2227.3,0.852706979,0.224366436
P4898,P4898.5,na,P4898.5,1,1.2,organisms,zooplankton,,Zooplancton.concentration.system,-1,TheNetherlands,TheNetherlands,Euro,Meso,Lake,LakeMeso,Repeated,N,Dreissena.bugensis,Dreissena,Myida,non.native,254.7,0.87,750,0.86,0.2,0.08,na,0.23,na,10,23.6,8.2,na,na,0.06,na,392,na,na,2.26,t.test,Y,4,12.75,2,1,4,1.38,0.5,0.25,na,6.782396219,3.253127988
